Activity,Id_Leg,Checkin,Start,Dep,Arr,End,Checkout,Repouso Extra,Tempo Repouso Extra Diurno,Tempo Repouso Extra Noturno,Tempo Repouso Extra Especial Diurno,Tempo Repouso Extra Especial Noturno
AD5189,-IF,NaT,NaT,JJG,VCP,NaT,NaT,0 days 07:01:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2621,-F,NaT,NaT,VCP,XAP,NaT,NaT,0 days 17:37:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4446,-F,NaT,NaT,GRU,BSB,NaT,NaT,0 days 01:32:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4987,-F,NaT,NaT,CNF,VCP,NaT,NaT,0 days 09:04:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4083,-F,NaT,NaT,CGB,VCP,NaT,NaT,0 days 01:03:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
SNA,-IF,06/12/2018 02:01,06/12/2018 02:01,VCP,VCP,07/12/2018 01:59,07/12/2018 02:29,0 days 00:11:00,0 days 00:11:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4103,-F,07/12/2018 14:40,07/12/2018 19:27,CWB,VCP,07/12/2018 20:24,07/12/2018 20:54,0 days 17:06:00,0 days 09:06:00,0 days 08:00:00,0 days 00:00:00,0 days 00:00:00
CMA,-IF,NaT,NaT,VCP,VCP,NaT,NaT,0 days 09:25:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD2499,-F,NaT,NaT,JDO,VCP,NaT,NaT,0 days 06:12:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9129,-F,NaT,NaT,IMP,VCP,NaT,NaT,0 days 01:20:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4446,-F,NaT,NaT,GRU,BSB,NaT,NaT,0 days 05:23:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD9643,-IF,NaT,NaT,BSB,VCP,NaT,NaT,0 days 03:34:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00
AD4044,-IF,02/01/2019 14:30,02/01/2019 15:23,VCP,CNF,02/01/2019 16:44,02/01/2019 17:14,0 days 13:01:00,0 days 12:00:00,0 days 01:01:00,0 days 00:00:00,0 days 00:00:00
