Activity,Id_Leg,Checkin,Checkout,Jornada
AD4405,-I,2019-04-05 07:50:00,2019-04-05 11:48:00,0 days 00:00:00
AD4011,-F,2019-04-05 07:50:00,2019-04-05 11:48:00,0 days 04:28:00
FR,-IF,2019-04-06 03:00:00,2019-04-07 03:30:00,1 days 01:00:00
FR,-IF,2019-04-07 03:00:00,2019-04-08 03:30:00,1 days 01:00:00
SNA,-IF,2019-04-08 03:00:00,2019-04-09 03:30:00,1 days 01:00:00
SNA,-IF,2019-04-09 03:00:00,2019-04-10 03:30:00,1 days 01:00:00
AD2787,-I,2019-04-10 10:20:00,2019-04-10 21:14:00,0 days 00:00:00
AD4096,-M,2019-04-10 10:20:00,2019-04-10 21:14:00,0 days 00:00:00
AD6422,-M,2019-04-10 10:20:00,2019-04-10 21:14:00,0 days 00:00:00
AD6422,-F,2019-04-10 10:20:00,2019-04-10 21:14:00,0 days 11:24:00
AD4986,-I,2019-04-11 09:14:00,2019-04-11 18:53:00,0 days 00:00:00
AD4406,-M,2019-04-11 09:14:00,2019-04-11 18:53:00,0 days 00:00:00
AD4407,-M,2019-04-11 09:14:00,2019-04-11 18:53:00,0 days 00:00:00
AD4148,-F,2019-04-11 09:14:00,2019-04-11 18:53:00,0 days 10:09:00
AD5149,-I,2019-04-12 08:20:00,2019-04-12 19:00:00,0 days 00:00:00
AD5149,-M,2019-04-12 08:20:00,2019-04-12 19:00:00,0 days 00:00:00
AD4177,-M,2019-04-12 08:20:00,2019-04-12 19:00:00,0 days 00:00:00
AD9646,-F,2019-04-12 08:20:00,2019-04-12 19:00:00,0 days 11:10:00
AD4253,-I,2019-05-01 07:40:00,2019-05-01 14:11:00,0 days 00:00:00
AD9641,-F,2019-05-01 07:40:00,2019-05-01 14:11:00,0 days 07:01:00
AD5280,-IF,2019-05-02 07:40:00,2019-05-02 10:10:00,0 days 03:00:00
AD2458,-I,2019-05-02 22:55:00,2019-05-03 05:30:00,0 days 00:00:00
AD5703,-F,2019-05-02 22:55:00,2019-05-03 05:30:00,0 days 07:05:00
FR,-IF,2019-05-04 00:00:00,2019-05-05 00:00:00,1 days 00:30:00
FR,-IF,2019-05-05 00:00:00,2019-05-06 00:00:00,1 days 00:30:00
SNA,-IF,2019-05-06 00:00:00,2019-05-07 00:00:00,1 days 00:30:00
SNA,-IF,2019-05-07 00:00:00,2019-05-08 00:00:00,1 days 00:30:00
AD2978,-I,2019-05-08 07:40:00,2019-05-08 14:35:00,0 days 00:00:00
AD4064,-M,2019-05-08 07:40:00,2019-05-08 14:35:00,0 days 00:00:00
